# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 362 m 6 profiles 2239488 fails 0 solved 13788 secs 0.1
core 363 m 6 profiles 2239488 fails 0 solved 13422 secs 0.1
core 364 m 6 profiles 2239488 fails 0 solved 14617 secs 0.1
core 365 m 6 profiles 2239488 fails 0 solved 14796 secs 0.1
core 366 m 6 profiles 2239488 fails 0 solved 13301 secs 0.1
core 367 m 6 profiles 2239488 fails 0 solved 14131 secs 0.1
core 368 m 6 profiles 2239488 fails 0 solved 14536 secs 0.1
core 369 m 6 profiles 2239488 fails 0 solved 13332 secs 0.1
core 370 m 6 profiles 2239488 fails 0 solved 9992 secs 0.0
core 371 m 6 profiles 2239488 fails 0 solved 13632 secs 0.1
core 372 m 6 profiles 2239488 fails 0 solved 8553 secs 0.0
core 373 m 6 profiles 2239488 fails 0 solved 9642 secs 0.0
core 374 m 6 profiles 2239488 fails 0 solved 12567 secs 0.1
core 375 m 6 profiles 2239488 fails 0 solved 12182 secs 0.1
core 376 m 6 profiles 2239488 fails 0 solved 13930 secs 0.1
core 377 m 6 profiles 2239488 fails 0 solved 12591 secs 0.1
core 378 m 6 profiles 2239488 fails 0 solved 11955 secs 0.1
core 379 m 6 profiles 2239488 fails 0 solved 13431 secs 0.1
